time	V(N002,VDD)*Id(M1)+V(N002,VDD)*Ig(M1)	V(N003,VDD)*Id(M2)+V(N002,VDD)*Ig(M2)	V(N003,VDD)*Id(M3)+V(N001,VDD)*Ig(M3)	V(N001,VDD)*Id(M5)+V(N003,VDD)*Ig(M5)	V(Vout,VDD)*Id(M7)+V(N001,VDD)*Ig(M7)	V(Vout)*Id(M8)+V(N001)*Ig(M8)	V(N001)*Id(M6)+V(N003)*Ig(M6)	V(N003)*Id(M4)+V(Vout)*Ig(M4)	V(N003)*I(C1)	V(Vout)*I(C2)
1.282331249282723e-06	1.103080e-07	6.616596e-08	6.193979e-10	2.119241e-09	-1.642116e-10	5.920428e-10	-6.328550e-11	3.660416e-08	-5.994308e-10	1.107685e-10
1.292096874282723e-06	1.102848e-07	6.912411e-08	4.768202e-10	2.580090e-09	-3.043894e-10	7.586254e-10	-2.069138e-11	3.418883e-08	-5.215396e-10	8.398469e-11
1.301862499282723e-06	1.102141e-07	7.171229e-08	3.030663e-10	2.956337e-09	-4.512039e-10	1.067554e-09	5.013552e-11	3.182883e-08	-3.888819e-10	2.103434e-11
1.311628124282723e-06	1.100497e-07	7.331674e-08	1.239531e-10	2.979135e-09	-5.652255e-10	1.623485e-09	1.416085e-10	2.978228e-08	-1.553503e-10	-1.261717e-10
1.321393749282723e-06	1.097056e-07	7.277091e-08	-5.841663e-11	2.274998e-09	-6.058383e-10	2.560247e-09	2.439986e-10	2.848920e-08	2.980595e-10	-4.290463e-10
1.331159374282723e-06	1.090764e-07	6.825175e-08	-2.757028e-10	7.435657e-10	-5.784105e-10	4.023085e-09	4.338791e-10	2.848786e-08	1.266804e-09	-9.390838e-10
1.340924999282723e-06	1.081054e-07	5.780764e-08	-4.921879e-10	-1.002865e-09	-5.242295e-10	6.178477e-09	1.264643e-09	2.956981e-08	3.434476e-09	-1.700074e-09
1.350690624282723e-06	1.070868e-07	4.135458e-08	-2.111073e-10	-1.727782e-09	-9.040775e-11	6.760375e-09	6.762860e-09	2.997466e-08	7.269541e-09	-2.399592e-09
1.360456249282723e-06	1.070053e-07	2.245994e-08	4.717646e-09	4.211816e-10	4.188100e-09	2.334670e-09	2.602385e-08	2.749371e-08	9.702960e-09	-2.438633e-09
1.370221874282723e-06	1.089186e-07	1.045086e-08	1.357718e-08	3.368532e-09	1.310402e-08	3.025467e-09	1.638278e-08	7.305621e-08	3.446126e-09	4.924672e-09
1.379987499282723e-06	1.142305e-07	1.793289e-08	2.119438e-08	3.110376e-10	6.660383e-09	2.740998e-09	-6.896419e-09	1.684502e-07	-1.545819e-08	8.779853e-09
1.389753124282723e-06	1.164693e-07	5.940393e-08	4.722702e-08	2.219712e-08	-3.756256e-09	-1.323326e-09	-6.694592e-09	1.093493e-07	-1.148433e-08	9.034538e-11
1.399518749282723e-06	1.123652e-07	9.662680e-08	2.800786e-08	4.341940e-08	-9.118905e-09	2.525359e-09	7.266529e-10	2.363079e-08	-1.162875e-09	7.400809e-10
1.409284374282723e-06	1.093690e-07	1.021995e-07	4.481549e-09	2.260460e-08	-4.833154e-09	4.353703e-08	2.812807e-09	-1.028002e-09	1.534418e-10	-1.511180e-08
1.419049999282723e-06	1.057040e-07	7.918672e-08	-1.516093e-09	-3.222597e-09	3.586129e-09	4.702603e-08	1.384402e-09	1.450897e-09	4.458896e-09	-1.822711e-08
1.428815624282723e-06	1.036469e-07	3.992761e-08	-2.375377e-09	-5.812647e-09	1.492980e-09	1.897391e-09	3.494300e-08	3.728463e-09	1.579737e-08	-1.979643e-09
1.438581249282723e-06	1.067189e-07	1.029417e-08	7.720736e-09	2.324015e-09	2.354070e-08	-1.141403e-08	5.272356e-08	1.081043e-09	1.161488e-08	2.531633e-10
1.448346874282723e-06	1.094010e-07	1.306857e-09	9.721723e-09	3.868479e-09	5.471721e-08	3.483192e-10	1.353363e-08	2.423481e-08	1.963257e-09	1.024419e-08
1.458112499282723e-06	1.131711e-07	2.807882e-09	6.096956e-09	-1.690231e-09	2.050207e-08	4.682178e-09	-6.806276e-09	1.341282e-07	-1.352862e-08	2.098447e-08
1.467878124282723e-06	1.176080e-07	3.815302e-08	7.493387e-08	2.198089e-09	4.219997e-09	-9.914309e-10	-8.794249e-09	1.935717e-07	-1.982180e-08	-1.345613e-08
1.469098827407723e-06	1.162874e-07	4.421168e-08	8.856986e-08	2.362864e-09	3.253394e-09	-8.908165e-10	-6.516198e-09	1.809270e-07	-1.469553e-08	-1.146475e-08
